37188=Новый Афон, Абхазия
8314=Менорка, Балеарские острова
8373=Ибица, Балеарские острова
41923=Дакка, Бангладеш
41992=Кокс-Базар, Бангладеш
41936=Джессор, Бангладеш
41907=Исхурди, Бангладеш
41943=Фени, Бангладеш
41978=Читтагонг, Бангладеш
41883=Богра, Бангладеш
41859=Рангпур, Бангладеш
41891=Силхет, Бангладеш
41950=Барисал, Бангладеш
78954=Барбадос, Барбадос
78955=Бриджтаун, Барбадос
41150=Бахрейн, Бахрейн
41151=Манама, Бахрейн
26643=Шарковщина, Беларусь
26753=Заславль, Беларусь
33027=Житковичи, Беларусь
26950=Октябрь, Беларусь
26006=Климовичи, Беларусь
26759=Борисов, Беларусь
26668=Сенно, Беларусь
26763=Орша, Беларусь
33036=Мозырь, Беларусь
33038=Василевичи, Беларусь
33041=Гомель, Беларусь
26002=Логойск, Беларусь
26003=Солигорск, Беларусь
26004=Светлогорск, Беларусь
26005=Слоним, Беларусь
26774=Горки, Беларусь
26007=Мосты, Беларусь
26008=Речица, Беларусь
26009=Браслав, Беларусь
26010=Кобрин, Беларусь
26779=Мстиславль, Беларусь
26012=Осиповичи, Беларусь
26013=Несвиж, Беларусь
26014=Дятлово, Беларусь
26015=Кричев, Беларусь
26887=Костюковичи, Беларусь
26657=Докшицы, Беларусь
26018=Дзержинск, Беларусь
26659=Лепель, Беларусь
26021=Быхов, Беларусь
26022=Крупки, Беларусь
26023=Белыничи, Беларусь
26024=Мядель, Беларусь
26025=Глубокое, Беларусь
26666=Витебск, Беларусь
26923=Волковыск, Беларусь
26653=Полоцк, Беларусь
26030=Новополоцк, Беларусь
26031=Плещеницы, Беларусь
26001=Молодечно, Беларусь
26929=Пружаны, Беларусь
26034=Жодино, Беларусь
26649=Нарочь, Беларусь
26974=Чечерск, Беларусь
26553=Миоры, Беларусь
26554=Верхнедвинск, Беларусь
26941=Барановичи, Беларусь
33106=Хойники, Беларусь
26016=Шклов, Беларусь
26947=Ганцевичи, Беларусь
26566=Езерище, Беларусь
26951=Слуцк, Беларусь
26825=Гродно, Беларусь
26955=Любань, Беларусь
26832=Лида, Беларусь
26961=Бобруйск, Беларусь
26017=Сморгонь, Беларусь
26032=Петриков, Беларусь
26836=Новогрудок, Беларусь
26766=Толочин, Беларусь
26966=Жлобин, Беларусь
26028=Туров, Беларусь
26938=Ивацевичи, Беларусь
26846=Столбцы, Беларусь
26749=Радошковичи, Беларусь
26850=Минск, Беларусь
33124=Брагин, Беларусь
26853=Березино, Беларусь
33105=Лельчицы, Беларусь
26834=Щучин, Беларусь
33001=Высокое, Беларусь
26855=Марьина Горка, Беларусь
26864=Кличев, Беларусь
26736=Ошмяны, Беларусь
26863=Могилев, Беларусь
33008=Брест, Беларусь
26033=Ушачи, Беларусь
33011=Дрогичин, Беларусь
26027=Рогачев, Беларусь
26745=Вилейка, Беларусь
33019=Пинск, Беларусь
26748=Воложин, Беларусь
26026=Поставы, Беларусь
26878=Славгород, Беларусь
78584=Белиз, Белиз
78582=Сан-Педро, Белиз
6433=Хасселт, Бельгия
6407=Остенде, Бельгия
6409=Брюгге, Бельгия
6446=Ватерлоо, Бельгия
6450=Антверпен, Бельгия
6451=Брюссель, Бельгия
6457=Льеж, Бельгия
6458=Бовшен, Бельгия
6431=Гент, Бельгия
65344=Котону, Бенин
78016=Сент-Джордж, Бермудские Острова
15744=Золотые Пески, Болгария
15745=Плевен, Болгария
15746=Сопот, Болгария
15625=Пловдив, Болгария
15628=Ивайловград, Болгария
15501=Новосело, Болгария
15502=Видин, Болгария
15533=Свиштов, Болгария
15505=Враца, Болгария
15507=Монтана, Болгария
15511=Лом, Болгария
15514=Оряхово, Болгария
15642=Элхово, Болгария
15525=Ловеч, Болгария
15655=Бургас, Болгария
15656=Солнечный Берег, Болгария
15657=Приморско, Болгария
15530=Велико-Тырново, Болгария
15661=Ахтополь, Болгария
15535=Русе, Болгария
15614=София, Болгария
15549=Разград, Болгария
15550=Силистра, Болгария
15552=Варна, Болгария
15561=Шабла, Болгария
15562=Калиакра, Болгария
15712=Сандански, Болгария
15714=Банско, Болгария
15725=Снежанка, Болгария
15613=Черни-Врых, Болгария
15600=Мургаш, Болгария
15601=Кюстендил, Болгария
15730=Кырджали, Болгария
15635=Чирпан, Болгария
15605=Дрогоман, Болгария
15743=Габрово, Болгария
15741=Свиленград, Болгария
15742=Албена, Болгария
15615=Мусала, Болгария
85201=Ла-Пас, Боливия
85202=Копакабана, Боливия
85283=Сукре, Боливия
85245=Санта-Крус, Боливия
85154=Тринидад, Боливия
14640=Ливно, Босния и Герцеговина
14654=Сараево, Босния и Герцеговина
68244=Габороне, Ботсвана
83746=Рио-Де-Жанейро, Бразилия
83780=Сан-Паулу, Бразилия
83378=Бразилиа, Бразилия
83827=Фос-ду-Игуасу, Бразилия
82332=Манаус, Бразилия
83229=Сальвадор, Бразилия
78550=Роуд-Таун, Британские Виргинские острова
96323=Куала-Белаит, Бруней
96315=Бандар-Сери-Бегаван, Бруней
65503=Уагадугу, Буркина-Фасо
64390=Бужумбура, Бурунди
42300=Тхимпху, Бутан
16235=Ватикан, Ватикан
3140=Глазго, Великобритания
3334=Манчестер, Великобритания
3016=Скапа, Великобритания
3772=Лондон, Великобритания
3917=Белфаст, Великобритания
3726=Бристоль, Великобритания
3091=Абердин, Великобритания
3534=Бирмингем, Великобритания
3827=Плимут, Великобритания
3160=Эдинбург, Великобритания
3929=Дерби, Великобритания
3930=Дувр, Великобритания
3931=Кембридж, Великобритания
3932=Ливерпуль, Великобритания
3933=Оксфорд, Великобритания
12836=Тата, Венгрия
12870=Эгер, Венгрия
12843=Будапешт, Венгрия
12882=Дебрецен, Венгрия
12982=Сегед, Венгрия
12920=Кестхей, Венгрия
12825=Папа, Венгрия
80421=Порламар (остров Маргарита), Венесуэла
80415=Каракас, Венесуэла
91765=Паго-Паго, Восточное Самоа
97390=Дили, Восточный Тимор
48900=Хошимин, Вьетнам
48914=Камау, Вьетнам
48916=Тхотю, о-в, Вьетнам
48917=Фукуок, Вьетнам
48918=Кондао, о-в, Вьетнам
48803=Лаокай, Вьетнам
48804=Сапа (Шапа), Вьетнам
48806=Шонла, Вьетнам
48808=Каобанг, Вьетнам
48820=Ханой, Вьетнам
48823=Намдинь, Вьетнам
48825=Хайфон, Вьетнам
48826=Фульен, Вьетнам
48830=Лангшон, Вьетнам
48839=Батьлонгви, о-в, Вьетнам
48840=Тханьхоа, Вьетнам
48845=Винь, Вьетнам
48848=Донгхой, Вьетнам
48852=Хюэ, Вьетнам
48855=Дананг, Вьетнам
48856=Хойан, Вьетнам
48870=Куиньон, Вьетнам
48877=Нячанг, Вьетнам
48887=Фантхьет, Вьетнам
48888=Далат, Вьетнам
64500=Либревиль, Габон
78439=Порт-о-Пренс, Гаити
81001=Джорджтаун, Гайана
61701=Банжул, Гамбия
65472=Аккра, Гана
78897=Пуэнт-а-Питр, Гваделупа
78894=Густавия, Гваделупа
78641=Гватемала Сити, Гватемала
78615=Флорес, Гватемала
61832=Конакри, Гвинея
61766=Бисау, Гвинея-Бисау
10379=Потсдам, Германия
10637=Франкфурт-на-Майне, Германия
10513=Кельн, Германия
10517=Бонн, Германия
10141=Гамбург, Германия
10400=Дюссельдорф, Германия
10410=Эссен, Германия
10170=Росток, Германия
10555=Веймар, Германия
10046=Киль, Германия
10763=Нюрнберг, Германия
10385=Берлин, Германия
10963=Гармиш-Партенкирхен, Германия
10338=Ганновер, Германия
10983=Карлштадт, Германия
10984=Баден-Баден, Германия
10471=Лейпциг, Германия
10734=Хайдельберг, Германия
10224=Бремен, Германия
10865=Мюнхен, Германия
10486=Дрезден, Германия
10238=Берген, Германия
8495=Гибралтар, Гибралтар
78720=Тегусигальпа, Гондурас
78958=Гренада, Гренада
4250=Нуук (Готхоб), Гренландия
16641=Керкира (Корфу), Греция
16614=Кастория, Греция
16748=Парос, Греция
16650=Лимнос, Греция
16716=Афины, Греция
16749=Родос, Греция
16623=Халкидики, Греция
16754=Ираклион, Греция
16755=Херсонисос, Греция
16758=Ретимно, Греция
16666=Салоники, Греция
37395=Кутаиси, Грузия
37484=Батуми, Грузия
37549=Тбилиси, Грузия
6120=Оденсе, Дания
6195=Варде, Дания
6180=Копенгаген, Дания
64210=Киншаса, Демократическая республика Конго
63125=Джибути, Джибути
78907=Розо, Доминика
78486=Санто-Доминго, Доминиканская Республика
62466=Сафага, Египет
62467=Марса-Алам, Египет
62405=Луксор, Египет
62462=Эль-Гуна, Египет
62414=Асуан, Египет
62419=Абу-Симбел, Египет
62452=Нувейба, Египет
62318=Александрия, Египет
62457=Таба, Египет
62463=Хургада, Египет
62460=Шарм-эль-Шейх, Египет
62461=Дахаб, Египет
62366=Каир, Египет
62453=Макади-Бэй, Египет
67665=Лусака, Замбия
67743=Ливингстон, Замбия
60033=Эль-Аюн, Западная Сахара
67761=Кариба, Зимбабве
67775=Хараре, Зимбабве
40192=Эйн-Бокек, Израиль
40290=Иерусалим, Израиль
40199=Эйлат, Израиль
40180=Тель-Авив, Израиль
40153=Цфат, Израиль
40155=Хайфа, Израиль
40156=Тверия, Израиль
40191=Беэр-Шева, Израиль
42369=Лакнау, Индия
42498=Бхагалпур, Индия
42886=Джхасугуда, Индия
42634=Бхудж, Индия
42123=Ганганагар, Индия
42754=Индаур, Индия
42895=Балешвар, Индия
43279=Ченнай (Мадрас), Индия
42840=Сурат, Индия
42131=Хисар, Индия
42260=Агра, Индия
42542=Удайпур, Индия
42647=Ахмадабад, Индия
42779=Пендра-Роуд, Индия
42909=Веравал, Индия
43295=Бангалор, Индия
43379=Тутикорин, Индия
42737=Раджкот, Индия
42667=Бхопал, Индия
43181=Виджаявада, Индия
42798=Джамшедпур, Индия
43057=Мумбай (Бомбей), Индия
42675=Джабалпур, Индия
42165=Биканер, Индия
43192=Гоа, Индия
42809=Калькутта, Индия
42559=Гуна, Индия
42435=Бармер, Индия
43205=Баллари, Индия
42182=Дели, Индия
42571=Сатна, Индия
42189=Барейли, Индия
42701=Ранчи, Индия
42452=Кота, Индия
43321=Коямпуттур, Индия
42328=Джайсалмер, Индия
42971=Бхубанешвар, Индия
42591=Гая, Индия
43360=Мадурай, Индия
43333=Порт Блэр, Индия
42492=Патна, Индия
42475=Аллахабад, Индия
42348=Джайпур, Индия
43373=Тривандрам, Индия
42479=Варанаси, Индия
43377=Канниякумари, Индия
42867=Нагпур, Индия
43128=Хайдарабад, Индия
42361=Гвалияр, Индия
42874=Райпур, Индия
42379=Горанкпур, Индия
42111=Дехра-Дун, Индия
96001=Банда-Ачех, Индонезия
97796=Коконау, Индонезия
96009=Лхоксемаве, Индонезия
97290=Энде, Индонезия
97682=Набире, Индонезия
96791=Джативанги, Индонезия
97028=Толитоли, Индонезия
97180=Уджунгпанданг, Индонезия
96925=Сангкапура, Индонезия
97438=Веда, Индонезия
96035=Медан, Индонезия
97700=Намлеа, Индонезия
96933=Сурабая, Индонезия
97192=Баубау, Индонезия
96559=Синтанг, Индонезия
96695=Катабару, Индонезия
97980=Мерауке, Индонезия
96837=Семаранг, Индонезия
96073=Сиболга, Индонезия
97229=Кута, Индонезия
97230=Денпасар (Бали), Индонезия
97231=Убуд, Индонезия
97232=Амед, Индонезия
96163=Паданг, Индонезия
97236=Санур, Индонезия
97237=Нуса-Дуа, Индонезия
96087=Батам, Индонезия
97240=Матарам, Индонезия
96607=Самаринда, Индонезия
96737=Серанг, Индонезия
96615=Кетапанг, Индонезия
96745=Джакарта, Индонезия
96751=Китеко, Индонезия
97270=Бима, Индонезия
97016=Битунг, Индонезия
96633=Баликпапан, Индонезия
97724=Амбон, Индонезия
96509=Таракан, Индонезия
40297=Петра, Иордания
40270=Амман, Иордания
40342=Акаба, Иордания
40689=Басра, Ирак
40650=Багдад, Ирак
40848=Шираз, Иран
40841=Керман, Иран
40754=Тегеран, Иран
40757=Семнан, Иран
3969=Дублин, Ирландия
3955=Корк, Ирландия
3965=Бирр, Ирландия
3961=Лимерик, Ирландия
4030=Рейкьявик, Исландия
8992=Коста-Брава, Испания
8961=Картахена, Испания
8226=Гвадалахара, Испания
8963=Марбелья, Испания
8420=Сьерра-Невада, Испания
8160=Сарагоса, Испания
8001=Ла-Корунья, Испания
8360=Аликанте, Испания
8361=Бенидорм, Испания
8482=Малага, Испания
8962=Коста-дель-Соль, Испания
8175=Коста-Дорада, Испания
8181=Барселона, Испания
8214=Эстепона, Испания
8410=Кордова, Испания
8284=Валенсия, Испания
8221=Мадрид, Испания
8391=Севилья, Испания
8117=Ла-Молина, Испания
16007=Ливиньо, Италия
16009=Бормио, Италия
16140=Болонья, Италия
16270=Бари, Италия
16531=Ольбия, Италия
16149=Римини, Италия
16410=Палермо, Италия
16155=Сан-Ремо, Италия
16158=Пиза, Италия
16032=Кортина-д'Ампеццо, Италия
16289=Неаполь, Италия
16294=Капри, Италия
16170=Флоренция, Италия
16171=Сиена, Италия
16560=Кальяри, Италия
16051=Курмайор, Италия
16052=Червиния, Италия
16054=Аоста, Италия
16059=Турин, Италия
16320=Бриндизи, Италия
16459=Катания, Италия
16076=Бергамо, Италия
16080=Милан, Италия
16090=Верона, Италия
16105=Венеция, Италия
16110=Триест, Италия
16111=Сестриере, Италия
16242=Рим, Италия
16120=Генуя, Италия
41480=Аден, Йемен
41404=Сана, Йемен
8589=Прая, Кабо-Верде
36870=Алматы, Казахстан
28679=Петропавловск, Казахстан
35849=Казалинск, Казахстан
28952=Костанай, Казахстан
35229=Актобе, Казахстан
35746=Аральск, Казахстан
35363=Аркалык, Казахстан
35108=Уральск, Казахстан
28966=Рузаевка, Казахстан
36778=Талдыкорган, Казахстан
38062=Кызылорда, Казахстан
36403=Усть-Каменогорск, Казахстан
38198=Туркестан, Казахстан
38328=Шымкент, Казахстан
35700=Атырау (Гурьев), Казахстан
35393=Темиртау, Казахстан
35394=Караганда, Казахстан
38341=Тараз, Казахстан
36428=Большенарымское, Казахстан
28879=Кокшетау, Казахстан
36177=Семей, Казахстан
36003=Павлодар, Казахстан
35796=Балхаш, Казахстан
35671=Жезказган (Джезказган), Казахстан
38111=Актау, Казахстан
35426=Темир, Казахстан
38001=Форт Шевченко, Казахстан
35188=Астана, Казахстан
78383=Джорджтаун, Каймановы острова
48983=Сиануквиль, Камбоджа
48966=Сием-Реап, Камбоджа
48991=Пномпень, Камбоджа
64950=Яунде, Камерун
71936=Йеллоунайф, Канада
71687=Вистлер, Канада
71945=Форт-Нельсон, Канада
71051=Сакс-Харбор, Канада
71700=Фредериктон, Канада
79001=Голден, Канада
71706=Шарлоттаун, Канада
71579=Виннипег, Канада
71964=Уайтхорс, Канада
71966=Доусон, Канада
71749=Тандер-Бей, Канада
71714=Квебек, Канада
71082=Алерт, Канада
71863=Реджайна, Канада
71866=Саскатун, Канада
71620=Кингстон, Канада
71877=Калгари, Канада
71624=Торонто, Канада
71627=Монреаль, Канада
71628=Оттава, Канада
71888=Джаспер, Канада
71907=Инукджуак, Канада
71892=Ванкувер, Канада
71902=Нейн, Канада
71906=Кууджуак, Канада
71395=Галифакс, Канада
71909=Икалуик, Канада
71912=Гиллам, Канада
71123=Эдмонтон, Канада
71926=Бейкер-Лейк, Канада
71799=Виктория, Канада
71801=Сент-Джонс, Канада
8212=Тенерифе, Канарские острова
60020=Санта-Крус, Канарские острова
41170=Доха, Катар
63820=Момбаса, Кения
63714=Накуру, Кения
63772=Ламу, Кения
63740=Найроби, Кения
17600=Пафос, Кипр
17602=Никосия, Кипр
17603=Айя-Напа, Кипр
17604=Протарас, Кипр
17608=Лимасол, Кипр
17609=Ларнака, Кипр
36934=Чолпон-Ата, Киргизия
38345=Талас, Киргизия
36974=Нарын, Киргизия
38353=Бишкек, Киргизия
36948=Каракол, Киргизия
38613=Джалал-Абад, Киргизия
36982=Тянь-Шань, Киргизия
38615=Ош, Киргизия
36927=Балыкчи (Иссык-Куль), Киргизия
91610=Байрики, Кирибати
55680=Гянтзе, Тибет, Китай
52866=Синин, пров. Цинхай, Китай
57731=Синань, пров. Гуандун, Китай
57494=Ухань, пров. Хубэй, Китай
54662=Далянь, пров. Ляонин, Китай
51463=Урумчи, Синьцзян-Уйгурский авт. р., Китай
50953=Харбин, пров. Хэйлунцзян, Китай
57687=Чанша, пров. Хунань, Китай
53772=Тайюань, пров. Шэньси, Китай
53698=Шицзячжуан, пров. Хэбэй, Китай
55597=Тсетанг, Тибет, Китай
57127=Ханьчжун, пров. Шаньси, Китай
58606=Наньчан, пров. Цзянси, Китай
55574=Жабдун, Тибет, Китай
59287=Гуанчжоу, пров. Гуандун, Китай
52889=Ланьчжоу, пров. Ганьсу, Китай
55578=Шигадзе, Тибет, Китай
57447=Эньши, пров. Хубэй, Китай
55591=Лхаса, Тибет, Китай
53149=Мандал, Вн. Монголия, Китай
54161=Чанчунь, пров. Цзилинь, Китай
55664=Тингри, Тибет, Китай
53923=Сифэнчжэнь, пров. Ганьсу, Китай
54308=Фэннин, пров. Хэбэй, Китай
59046=Лючжоу, Гуанси-Чжуанский авт. р., Китай
53543=Дуншэн, Вн. Монголия, Китай
58457=Ханчжоу, пров. Чжэцзян, Китай
51243=Карамай, Синьцзян-Уйгурский авт. р., Китай
59948=Санья, о-в Хайнань, Китай
59949=Дадунхай, Китай
53068=Эренхот, Вн. Монголия, Китай
57972=Чанчжоу, пров. Цзянсу, Китай
57516=Чунцин, пров. Сычуань, Китай
59758=Хайкоу, о-в Хайнань, Китай
54857=Циндао, пров. Шаньдун, Китай
50745=Цицикар, пров. Хэйлунцзян, Китай
50527=Хайлар, Вн. Монголия, Китай
59673=Чанхуань-Дао, Гонконг, Китай
56778=Куньмин, пров. Юньнань, Китай
53723=Яньчи, Нинся-Хуэйский авт. р., Китай
51573=Турфан, Синьцзян-Уйгурский авт. р., Китай
52418=Дуньхуан, пров. Ганьсу, Китай
54342=Шэньян, пров. Ляонин, Китай
54823=Цзинань, пров. Шаньдун, Китай
54602=Баодин, пров. Хэбэй, Китай
57036=Сиань, пров. Шаньси, Китай
45007=Гонконг, Китай
58321=Хэфэй, пров. Аньхой, Китай
52818=Голмуд, Тибет, Китай
45011=Тайпа (Данцзай-Дао), Макао, Китай
45012=Макао, Китай
53463=Хух-Хото, Вн. Монголия, Китай
57816=Гуйян, пров. Гуйчжоу, Китай
59431=Наньнин, Гуанси-Чжуанский авт. р., Китай
58357=Уси, пров. Цзянсу, Китай
54423=Чэндэ, пров. Хэбэй, Китай
58847=Фучжоу, пров. Фуцзянь, Китай
54497=Даньдун, пров. Ляонин, Китай
59950=Ялунвань, Китай
57957=Гуйлинь, Гуанси-Чжуанский авт. р., Китай
56294=Чэнду, пров. Сычуань, Китай
51431=Инин, Синьцзян-Уйгурский авт. р., Китай
45032=Та-Ку-Лин (Дагулин), Гонконг, Китай
55228=Шицюаньхэ, Тибет, Китай
45035=Лау-Фау-Шань (Люфушань), Гонконг, Китай
53614=Иньчуань, Нинся-Хуэйский авт. р., Китай
54511=Пекин, Китай
57072=Лоян, пров. Хэнань, Китай
51828=Хотан, Синьцзян-Уйгурский авт. р., Китай
59134=Сямынь, пров. Фуцзянь, Китай
58358=Сучжоу, пров. Цзянсу, Китай
56311=Байи, Тибет, Китай
58362=Шанхай, Китай
57083=Чжэнчжоу, пров. Хэнань, Китай
59644=Бейхай, Гуанси-Чжуанский авт. р., Китай
51709=Кашгар (Каши), Синьцзян-Уйгурский авт. р., Китай
58238=Нанкин, пров. Цзянсу, Китай
54527=Тяньцзинь, Китай
96996=Кокосовые острова (Килинг), Кокосовые острова
80222=Богота, Колумбия
67001=Морони, Коморские острова
78760=Пунтаренас, Коста-Рика
78762=Сан-Хосе, Коста-Рика
78767=Пуэрто-Лимон, Коста-Рика
78774=Либериа, Коста-Рика
78775=Остров Кокос, Коста-Рика
65578=Абиджан, Кот-д'Ивуар
78264=Сантьяго-де-Куба, Куба
78337=Тринидад, Куба
78229=Варадеро, Куба
78325=Гавана, Куба
40582=Эль-Кувейт, Кувейт
48930=Луангпрабанг, Лаос
48934=Пхонсаван, Лаос
48935=Сиенкхуанг, Лаос
48939=Ванг-Виенг, Лаос
48940=Вьентьян, Лаос
48952=Сараван, Лаос
48955=Паксе (пров. Чампасак), Лаос
26437=Ливаны, Латвия
26406=Лиепая, Латвия
26314=Вентспилс, Латвия
26446=Резекне, Латвия
26544=Даугавпилс, Латвия
26422=Рига, Латвия
26550=Краслава, Латвия
26423=Юрмала, Латвия
26335=Цесис, Латвия
68454=Масеру, Лесото
65602=Монровия, Либерия
40112=Баальбек, Ливан
40100=Бейрут, Ливан
40117=Кедры, Ливан
40103=Триполи, Ливан
62124=Себха, Ливия
62010=Триполи, Ливия
62052=Бенгази, Ливия
62103=Гадамес, Ливия
26629=Каунас, Литва
26729=Тракай, Литва
26730=Вильнюс, Литва
26603=Нида, Литва
26509=Клайпеда, Литва
26510=Паланга, Литва
26735=Друскининкай, Литва
26524=Шяуляй, Литва
6990=Вадуц, Лихтенштейн
6598=Шенген, Люксембург
6590=Люксембург, Люксембург
61995=Вакоас, Маврикий
61442=Нуакшот, Мавритания
67083=Антананариву, Мадагаскар
67005=Дзаудзи, Майотта
13586=Скопье, Македония
13492=Попова-Шапка, Македония
67586=Лилонгве, Малави
96421=Сибу, Малайзия
48647=Субанг, Малайзия
48648=Куала-Лумпур, Малайзия
96413=Кучинг, Малайзия
48657=Куантан, Малайзия
48601=Пенанг, Малайзия
48600=Лангкави, Малайзия
48665=Малакка, Малайзия
96477=Кудат, Малайзия
61291=Бамако, Мали
43555=Мале, Мальдивские острова
16597=Валлетта, Мальта
60101=Танжер, Марокко
60230=Марракеш, Марокко
60135=Рабат, Марокко
60141=Фес, Марокко
60155=Касабланка, Марокко
60252=Агадир, Марокко
91376=Маджуро, Маршалловы Острова
76225=Чиуауа, Мексика
76612=Гвадалахара, Мексика
76805=Акапулько, Мексика
76614=Пуэрто-Вальярта, Мексика
76680=Мехико, Мексика
76393=Монтеррей, Мексика
76654=Мансанильо, Мексика
76518=Сан-Лукас, Мексика
76595=Канкун, Мексика
76856=Танголунда, Мексика
60338=Мелилья, Мелилья
91348=Паликир, Микронезия
67341=Мапуту, Мозамбик
33828=Бендеры (Тигина), Молдова
33829=Тирасполь, Молдова
33678=Сороки, Молдова
33745=Бельцы, Молдова
33815=Кишинев, Молдова
33883=Комрат, Молдова
7736=Монте-Карло, Монако
7691=Монако, Монако
44259=Чойбалсан, Монголия
44292=Улан-Батор, Монголия
44373=Даландзадгад, Монголия
44232=Хутаг, Монголия
44304=Ундерхаан, Монголия
44212=Улаангом, Монголия
44341=Мандалговь, Монголия
44214=Улгий, Монголия
44218=Ховд, Монголия
44287=Баянхонгор, Монголия
44277=Алтай, Монголия
78898=Плимут, Монтсеррат
48080=Сандовай, Мьянма
48097=Янгон, Мьянма
48062=Ситуэ, Мьянма
48008=Мьичина, Мьянма
48042=Мандалай, Мьянма
48109=Кокосовые острова, Мьянма
48110=Мергуй, Мьянма
48077=Проме, Мьянма
48048=Баган, Мьянма
48053=Мейтхила, Мьянма
48078=Тауннгу, Мьянма
48074=Пьинмана, Мьянма
48094=Патейн, Мьянма
68110=Виндхук, Намибия
91530=Айво (Янгор), Науру
44416=Сургхет, Непал
44434=Покхара, Непал
44477=Дханкута, Непал
44438=Бхайрава, Непал
44454=Катманду, Непал
61052=Ниамей, Нигер
65201=Лагос, Нигерия
65125=Абуджа, Нигерия
78988=Виллемстад, Нидерландские Антильские острова
78990=Кралендейк, Нидерландские Антильские острова
6240=Амстердам, Нидерланды
6370=Эйндховен, Нидерланды
6344=Роттердам, Нидерланды
6380=Маастрихт, Нидерланды
6230=Де-Коог, Нидерланды
6330=Гаага, Нидерланды
6236=Берген-ан-Зее, Нидерланды
78741=Манагуа, Никарагуа
93781=Крайстчерч, Новая Зеландия
93110=Окленд, Новая Зеландия
93439=Веллингтон, Новая Зеландия
91592=Нумеа, Новая Каледония
1384=Осло, Норвегия
1089=Киркенес, Норвегия
1378=Лиллехаммер, Норвегия
1007=Ню-Олесунн, Норвегия
1311=Берген, Норвегия
94996=Кингстон, Норфолк
41217=Абу-Даби, ОАЭ
41194=Дубай, ОАЭ
41195=Аджман, ОАЭ
41196=Шарджа, ОАЭ
41198=Фуджейра, ОАЭ
41258=Маскат, Оман
41316=Салала, Оман
91212=Аганья, Остров Гуам
96995=Остров Рождества, Остров Рождества
1001=Ян-Майен, Остров Ян-Майен
91843=Аваруа, Острова Кука
1008=Свальбард, Острова Свальбард
1003=Хорнсунн, Острова Свальбард
1062=Остров Надежды (Хупен), Острова Свальбард
41640=Лахор, Пакистан
41571=Исламабад, Пакистан
41780=Карачи, Пакистан
91408=Корор, Палау
62338=Газа, Палестинская автономия
40183=Вифлеем, Палестинская автономия
78793=Давид, Панама
78794=Колон, Панама
78796=Буке, Панама
78806=Панама, Панама
78791=Бокас-дель-Торо, Панама
94083=Наматанай, Папуа - Новая Гвинея
94022=Ванимо, Папуа - Новая Гвинея
94001=Киунга, Папуа - Новая Гвинея
94097=Киета, Папуа - Новая Гвинея
94003=Дару, Папуа - Новая Гвинея
94004=Вевак, Папуа - Новая Гвинея
94005=Маунт-Хаген, Папуа - Новая Гвинея
94072=Хоскинс, Папуа - Новая Гвинея
94035=Порт-Морсби, Папуа - Новая Гвинея
94067=Туфи, Папуа - Новая Гвинея
94077=Гурни, Папуа - Новая Гвинея
94014=Маданг, Папуа - Новая Гвинея
86218=Асунсьон, Парагвай
84628=Лима, Перу
84501=Трухильо, Перу
84686=Куско, Перу
84719=Наска, Перу
12566=Краков, Польша
12295=Белосток, Польша
12424=Вроцлав, Польша
